#GI	Number_of_domains	Repeated_domain?	Embedded_domain(s)?
up_Q8MRG3_Q8MRG3_DROME	2	0	0
up_Q8MRF6_Q8MRF6_DROME	2	1	0
up_Q8MRC4_Q8MRC4_DROME	4	1	0
up_Q8MQY9_Q8MQY9_DROME	2	1	1
up_Q8MQX4_Q8MQX4_DROME	2	0	0
up_Q8MQV3_Q8MQV3_LEIIN	2	0	0
up_Q8MQV1_Q8MQV1_LEICH	2	0	0
up_Q8MQN2_Q8MQN2_DROME	2	1	2
up_Q8MQK2_Q8MQK2_DROME	2	0	0
up_Q8MQA1_Q8MQA1_CAEEL	5	1	0
pfam21_Q8MQ95_Q8MQ95_CAEEL	2	1	0
up_Q8MQ79_Q8MQ79_CAEEL	2	1	0
up_Q8MPU3_Q8MPU3_CAEEL	2	0	0
up_Q8MPF5_Q8MPF5_TOXGO	2	0	0
up_Q8MNZ7_Q8MNZ7_APHGO	2	0	0
up_Q8MNY7_Q8MNY7_NILLU	2	0	0
up_Q8MNY2_Q8MNY2_SCHMA	2	0	0
up_Q8MNY1_Q8MNY1_SCHMA	2	0	0
up_P54640_CYSP5_DICDI	2	0	0
pfam21_Q8MMY0_Q8MMY0_DICDI	2	0	0
up_Q8MML0_Q8MML0_DROAN	5	1	0
up_Q8MMJ6_Q8MMJ6_AEDAE	2	0	0
pfam21_Q8MMD1_Q8MMD1_DROME	3	0	0
pfam21_Q8MMC7_Q8MMC7_DROME	4	1	0
pfam21_Q8MM81_Q8MM81_CAEEL	2	0	0
up_Q8MM21_Q8MM21_APHGO	2	0	0
up_Q8MM20_Q8MM20_CAEEL	2	0	0
up_Q8MM14_Q8MM14_DROME	2	0	0
up_Q8MM13_Q8MM13_HAECO	2	0	0
up_Q8MM09_Q8MM09_CAEEL	7	1	0
pfam21_Q8MLX0_Q8MLX0_DROME	3	1	2
pfam21_Q8MLG4_Q8MLG4_DROME	2	0	0
pfam21_Q8MLC7_Q8MLC7_DROME	2	1	0
pfam21_Q8MKP1_Q8MKP1_DROME	2	0	0
up_Q9TSZ1_RENI_CALJA	2	0	0
up_Q9GMA4_Q9GMA4_SHEEP	2	1	0
up_Q9XT89_Q9XT89_CANFA	2	0	0
up_Q95LU8_Q95LU8_MACFA	2	0	0
up_O46497_O46497_BOVIN	2	0	0
up_O02724_O02724_SHEEP	2	0	0
up_Q9TTV9_Q9TTV9_BOVIN	2	0	0
up_Q9GKP1_Q9GKP1_PIG	7	0	0
up_Q8SPH0_Q8SPH0_BOVIN	2	0	0
up_Q8SPG7_Q8SPG7_BOVIN	2	0	0
up_Q8WN02_Q8WN02_MUSPF	2	0	0
up_O02726_O02726_SHEEP	2	0	0
up_Q28868_Q28868_BOVIN	2	0	0
up_Q28438_Q28438_9PRIM	2	0	0
up_Q9XSP9_Q9XSP9_RABIT	2	0	0
up_Q9GK10_Q9GK10_CAMDR	2	0	0
up_O02727_O02727_SHEEP	2	0	0
up_Q9TTX4_Q9TTX4_CAPHI	2	0	0
up_Q8SPG8_Q8SPG8_BOVIN	2	0	0
up_Q9GMY3_PEPC_RHIFE	2	0	0
up_Q9XSC8_Q9XSC8_RABIT	2	0	0
up_O02811_PI4KA_BOVIN	2	0	0
up_Q8SPG9_Q8SPG9_BOVIN	2	0	0
up_Q9TTX1_Q9TTX1_CAPHI	2	0	0
up_Q9TSZ3_KCNH2_CANFA	3	0	0
up_Q9MYW6_XDH_FELCA	6	0	0
up_Q9TTX2_Q9TTX2_CAPHI	2	0	0
up_Q9TTW8_Q9TTW8_CAPHI	2	0	0
up_Q27951_Q27951_BOSPR	2	0	0
up_Q9TTX3_Q9TTX3_CAPHI	2	0	0
up_Q95N04_Q95N04_PIG	4	1	0
up_Q8SQ74_CO2_PANTR	4	1	0
up_Q9BGG5_Q9BGG5_PIG	2	0	0
up_O97506_O97506_PIG	5	1	0
up_O46507_O46507_PAPHA	2	0	0
up_Q9GMY6_PEPA_CANFA	2	0	0
up_Q8WN95_ITPR3_BOVIN	6	1	0
up_Q28226_Q28226_CANFA	2	0	0
up_Q28293_KCNA2_CANFA	2	0	0
pfam21_Q95325_Q95325_BOVIN	6	0	0
up_Q9TTW0_Q9TTW0_BOVIN	2	0	0
up_O02723_O02723_SHEEP	2	0	0
up_Q28010_Q28010_BOVIN	2	0	0
up_Q28546_Q28546_SHEEP	2	0	0
up_Q9MYK3_Q9MYK3_PIG	2	0	0
up_O46495_O46495_BOVIN	2	0	0
up_Q9BEG3_Q9BEG3_BOVIN	2	0	0
up_Q9N0J1_Q9N0J1_BOVIN	2	0	0
up_Q9GJS9_GLRB_BOVIN	2	0	0
up_O46494_O46494_BOVIN	2	0	0
up_Q9TTU3_CLCN5_RABIT	2	0	0
up_Q9TTW1_Q9TTW1_BOVIN	2	0	0
up_O97896_O97896_SYNCA	6	0	0
up_Q9TTV6_Q9TTV6_BOVIN	2	0	0
up_O46499_O46499_BOVIN	2	0	0
up_O97658_O97658_BOVIN	3	0	0
up_Q9N2E3_Q9N2E3_PONPY	2	0	0
up_Q9MZF4_DUOX1_CANFA	6	1	0
up_Q9TTV5_Q9TTV5_BOVIN	2	0	0
up_Q9TTV3_Q9TTV3_BOVIN	2	0	0
up_Q8WMH6_Q8WMH6_MACMU	2	1	0
up_Q8SPU7_ACHA5_BOVIN	2	0	0
up_Q9N0V7_CBS_RABIT	2	0	0
up_Q9N2E4_Q9N2E4_9PRIM	2	0	0
up_O97554_PGH1_RABIT	2	0	0
up_Q9XSD3_CRIS1_MACMU	2	0	0
up_Q9TTV7_Q9TTV7_BOVIN	2	0	0
up_Q9BE86_Q9BE86_MACFA	12	1	0
up_O97897_O97897_TRAOR	6	0	0
up_P79370_P79370_RABIT	4	0	0
up_O02729_O02729_SHEEP	2	0	0
up_Q8WN22_PRKDC_CANFA	5	0	0
up_Q28464_Q28464_MONDO	2	0	0
up_Q9GMY4_PEPC_SORUN	2	0	0
up_Q9TTV4_Q9TTV4_BOVIN	2	0	0
up_Q28800_Q28800_PANTR	2	0	0
up_Q9XT88_Q9XT88_CANFA	3	0	0
up_O46492_O46492_BOVIN	2	0	0
up_Q95KH6_RGF1C_MACFA	2	0	0
up_Q9N0F4_Q9N0F4_MUSPF	2	0	0
up_Q9MZT1_CLCN1_CANFA	2	0	0
up_Q9GK11_Q9GK11_CAMDR	2	0	0
up_Q9GMA5_Q9GMA5_SHEEP	2	0	0
up_Q95KB6_Q95KB6_MACFA	2	1	0
up_Q9TTW5_Q9TTW5_CAPHI	2	0	0
up_Q9XSQ0_Q9XSQ0_RABIT	2	0	0
up_Q9N1P5_Q9N1P5_BUBBU	2	0	0
up_Q28649_Q28649_RABIT	2	0	0
up_O46506_O46506_PAPHA	3	1	0
up_Q9GLF1_Q9GLF1_BOVIN	3	0	0
up_Q9XS62_Q9XS62_CANFA	2	0	0
up_Q9XSH2_Q9XSH2_TUPGL	2	0	0
up_Q9MZS1_HCN1_RABIT	3	0	0
pfam21_O46498_O46498_BOVIN	2	0	0
up_O77720_O77720_HORSE	2	0	0
up_O77719_O77719_HORSE	2	0	0
up_O46524_O46524_FELCA	2	0	0
up_Q9N2E5_Q9N2E5_PANTR	2	0	0
up_Q8WNQ3_Q8WNQ3_PIG	2	0	0
up_Q9MZF3_Q9MZF3_CANFA	6	1	0
up_O77658_O77658_BOVIN	2	0	0
pfam21_Q9GKF0_Q9GKF0_BOVIN	2	0	0
up_Q9GKU7_KCNV1_MACFA	2	0	0
up_O77690_O77690_BOVIN	3	1	2
pfam21_Q9MYY8_TRXR1_PIG	2	1	3
up_Q8SPG5_Q8SPG5_BOVIN	2	0	0
up_Q28950_Q28950_PIG	2	0	0
up_Q9GLR0_NEC2_BOVIN	2	0	0
up_Q8SQ41_PEPB_CANFA	2	0	0
up_Q9BG98_KCMA1_RABIT	2	0	0
up_Q9GKE7_CLCN5_PIG	2	0	0
up_Q8SPH1_Q8SPH1_BOVIN	2	0	0
up_O46669_SCNAA_CANFA	6	1	0
up_Q9TTW9_Q9TTW9_CAPHI	2	0	0
up_Q9TT20_Q9TT20_9PRIM	2	0	0
pfam21_Q29080_Q29080_PIG	2	0	0
up_O97553_O97553_CERAE	2	0	0
pfam21_Q9TTK6_AOC3_BOVIN	3	1	0
up_Q9TTW7_Q9TTW7_CAPHI	2	0	0
up_Q8SPQ9_Q8SPQ9_CANFA	2	0	0
up_Q9TS07_Q9TS07_BOVIN	2	0	0
up_Q9BDH6_Q9BDH6_HORSE	4	0	0
up_Q28925_Q28925_BOVIN	2	0	0
up_Q95M18_ENPL_BOVIN	2	0	0
up_Q9N0M4_Q9N0M4_CERNI	2	0	0
up_P79381_HYEP_PIG	2	0	0
up_Q8SPU6_ACHB4_BOVIN	2	0	0
up_Q9TUK6_Q9TUK6_RABIT	2	0	0
up_Q28656_Q28656_RABIT	2	0	0
up_Q9GK13_MUTA_BOVIN	2	0	0
pfam21_Q9GKE9_Q9GKE9_BOVIN	2	0	0
up_O46605_O46605_CANFA	4	1	0
up_Q95JJ9_Q95JJ9_MACFA	2	0	0
up_Q9N175_Q9N175_SHEEP	4	0	0
up_O02728_O02728_SHEEP	2	0	0
up_Q9N0H4_Q9N0H4_PIG	2	0	0
up_Q29621_Q29621_RABIT	14	1	0
up_Q28155_Q28155_BOVIN	2	0	0
up_Q9GLN0_Q9GLN0_RABIT	2	0	0
up_Q95169_Q95169_CAPHI	2	0	0
up_O46493_O46493_BOVIN	2	0	0
up_Q9TTW6_Q9TTW6_CAPHI	2	0	0
up_Q9GKL8_CATL1_CERAE	2	0	0
up_O02725_O02725_SHEEP	2	0	0
up_O46496_O46496_BOVIN	2	0	0
up_Q95201_Q95201_MUSVI	15	1	0
up_Q9MYK2_Q9MYK2_PIG	2	0	0
up_Q9TTX5_Q9TTX5_CAPHI	2	0	0
up_Q9GMY7_PEPA_RHIFE	2	0	0
up_Q9TTX0_Q9TTX0_CAPHI	2	0	0
up_Q28959_Q28959_PIG	2	0	0
up_Q9TV66_HCN4_RABIT	3	0	0
up_Q28644_SCN9A_RABIT	6	1	0
up_Q8SPG6_Q8SPG6_BOVIN	2	0	0
up_Q9TUK5_Q9TUK5_RABIT	2	0	0
up_Q95LN8_Q95LN8_MACFA	2	0	0
up_O18823_AOAH_RABIT	2	0	0
up_O77660_O77660_BOVIN	2	0	0
up_O18866_KCMA1_PIG	2	0	0
up_Q9TTA4_Q9TTA4_BOVIN	4	1	0
up_O77818_O77818_PIG	2	0	0
up_Q8WN21_Q8WN21_HORSE	5	0	0
pfam21_Q95L67_Q95L67_FELCA	2	0	0
up_Q9GMY2_PEPC_RABIT	2	0	0
up_Q9GMY8_PEPA_SORUN	2	0	0
up_Q9TTV8_Q9TTV8_BOVIN	2	0	0
up_O46500_O46500_BOVIN	2	0	0
up_Q8SPR3_Q8SPR3_PIG	2	0	0
up_Q8WN96_ITPR2_BOVIN	6	1	0
up_Q9XT70_Q9XT70_RABIT	2	0	0
up_Q8WP19_CRY1_MACFA	2	0	0
up_Q9BE96_Q9BE96_MACFA	3	0	0
up_Q9TUK7_Q9TUK7_RABIT	2	0	0
up_Q9TUX8_NOS3_CANFA	4	0	0
up_O46523_O46523_EQUZE	2	0	0
up_Q28265_KCMA1_CANFA	2	0	0
up_Q02911_Q02911_RABIT	2	0	0
up_Q28006_Q28006_BOVIN	7	1	0
pfam21_O18894_CLCN3_RABIT	2	0	0
up_Q9TT16_CLCN6_RABIT	2	0	0
up_Q9TUB6_Q9TUB6_PIG	2	0	0
up_Q28613_Q28613_RABIT	3	1	0
up_Q08635_Q08635_BOVIN	2	0	0
up_Q95333_XPP2_PIG	2	0	0
up_Q9BH09_HGF_FELCA	6	1	0
up_Q8MJU4_Q8MJU4_RABIT	2	0	0
up_Q8MJQ3_Q8MJQ3_AOTVO	2	0	0
up_Q8MJD4_Q8MJD4_RABIT	3	0	0
up_Q8MJA6_Q8MJA6_MACMU	2	0	0
up_Q8MIR1_Q8MIR1_BOVIN	2	0	0
up_Q8MI68_MUTA_PIG	2	0	0
up_Q8MHY7_UROK_RABIT	2	0	0
up_Q8MHX2_Q8MHX2_HORSE	2	0	0
up_Q8WI25_RPOC1_PSINU	3	0	0
up_Q9SEA7_Q9SEA7_GUITH	2	0	0
up_Q9TNJ1_Q9TNJ1_9MARC	3	0	0
up_Q9TH97_Q9TH97_9CEST	2	1	0
up_Q9MUK5_Q9MUK5_PEA	4	1	0
up_O63067_O63067_SOYBN	5	1	0
up_Q9TL04_RPOC2_NEPOL	3	0	0
pfam21_Q9MTM4_RPOC1_OENHO	3	0	0
up_Q9XMF9_Q9XMF9_9CEST	2	1	0
up_Q98RN1_Q98RN1_GUITH	5	0	0
up_Q9TNL1_Q9TNL1_PHYPA	3	0	0
up_Q9THB9_Q9THB9_ECHMU	2	1	0
up_O21238_O21238_RECAM	5	0	0
pfam21_Q9MTM3_RPOC2_OENHO	3	0	0
up_O47027_RR2A_CHLRE	3	1	0
up_Q9TNK5_Q9TNK5_COLNI	4	1	0
up_Q9TNJ6_Q9TNJ6_9BRYO	3	0	0
up_Q34135_Q34135_9BIVA	2	1	0
up_Q9T4Q7_Q9T4Q7_ECHGR	2	1	0
up_Q9MJS0_Q9MJS0_9CEST	2	1	0
up_Q98RX7_Q98RX7_GUITH	7	1	0
up_Q8WI26_RPOC2_PSINU	3	0	0
up_Q98S72_Q98S72_GUITH	5	0	0
up_Q9TH95_Q9TH95_9CEST	2	1	0
up_Q94YW2_Q94YW2_9TREM	2	1	0
up_Q9THA3_Q9THA3_9CEST	2	1	0
up_O21237_O21237_RECAM	4	0	0
up_Q9TH99_Q9TH99_9CEST	2	1	0
up_Q98RZ2_Q98RZ2_GUITH	2	0	0
up_Q9TIM3_Q9TIM3_SPIOL	2	0	0
up_Q9MTD3_RPOB_TOXGO	3	0	0
up_O80013_O80013_SPIOL	2	0	0
up_Q9MTD4_Q9MTD4_TOXGO	2	0	0
up_Q8MD06_Q8MD06_LEUGL	2	0	0
up_Q8MA11_RPOC1_CHAGL	3	0	0
up_Q8MA10_RPOC2_CHAGL	3	0	0
up_Q9FR47_Q9FR47_POASE	2	0	0
up_Q940E7_Q940E7_AGARU	2	0	0
up_Q9ZU05_Q9ZU05_PERAE	2	0	0
up_O82708_O82708_PEA	2	0	0
up_Q941I5_Q941I5_SORBI	2	0	0
up_O80738_TPS10_ARATH	2	0	0
up_Q39978_Q39978_HYOMU	2	0	0
up_Q9ZPN1_Q9ZPN1_AVESA	2	0	0
up_Q9SYU0_Q9SYU0_WHEAT	2	1	0
up_P94084_P94084_MEDSA	2	0	0
up_O22680_O22680_ARATH	2	0	0
up_Q8W428_Q8W428_WHEAT	2	0	0
up_Q9AXR9_Q9AXR9_SECCE	2	0	0
up_Q43079_Q43079_PEA	2	0	0
up_Q9FFX7_Q9FFX7_ARATH	3	0	0
up_Q9SE49_Q9SE49_DUNSA	2	1	0
up_O81086_TPSD1_ABIGR	2	0	0
up_O24019_O24019_SOLLC	2	0	0
up_Q39548_KSB_CUCMA	2	0	0
up_O65218_O65218_ARATH	2	0	0
up_Q9SDP3_Q9SDP3_ALLCE	2	0	0
pfam21_Q9SF08_Q9SF08_ARATH	2	0	0
pfam21_Q9C585_Q9C585_ARATH	2	0	0
up_Q40319_Q40319_MEDSA	2	0	0
up_Q9LDF1_CINS_ARATH	2	0	0
up_Q42992_Q42992_ORYSA	2	0	0
up_Q9SQL4_Q9SQL4_POAPR	2	0	0
up_Q41461_Q41461_SOLTU	2	0	0
up_Q96408_Q96408_DAUCA	2	0	0
up_O81301_PME40_ARATH	2	0	0
up_Q94EN2_Q94EN2_TOBAC	2	0	0
up_Q9S9J3_Q9S9J3_ARATH	3	0	0
up_Q8W3Z9_Q8W3Z9_TOBAC	2	0	0
up_Q93X45_Q93X45_SOLLC	2	0	0
up_Q9FV21_Q9FV21_SOLLC	3	0	0
up_Q8RXR2_CLCF_ARATH	2	0	0
up_Q93YB1_Q93YB1_PEA	2	1	0
up_O48959_O48959_WHEAT	6	0	0
up_Q9SWR9_Q9SWR9_MAIZE	3	0	0
up_Q9LP72_Q9LP72_ARATH	3	0	0
up_O81776_GLR24_ARATH	2	0	0
up_O81085_O81085_ANACO	2	0	0
up_Q9ZRV1_Q9ZRV1_FAGSY	2	0	0
up_Q9SSP7_Q9SSP7_ARATH	3	0	0
up_Q9SDN9_Q9SDN9_CAPAN	2	0	0
up_Q8S9E2_Q8S9E2_ORYSA	2	0	0
up_Q9M4V5_Q9M4V5_ORYSA	2	0	0
up_O04537_O04537_ARATH	2	0	0
up_Q9LKP2_Q9LKP2_MESCR	2	1	1
up_Q9M8L6_Q9M8L6_ARATH	2	0	0
up_Q9SBJ0_Q9SBJ0_SOLTU	2	0	0
up_Q94C08_Q94C08_ORYSA	2	0	0
up_Q9FGR9_Q9FGR9_ARATH	2	0	0
up_Q9SP93_Q9SP93_9ASTR	3	0	0
pfam21_Q9SGZ5_Q9SGZ5_ARATH	2	0	0
up_O64983_O64983_SPIOL	2	0	0
up_O24359_O24359_SPIOL	2	0	0
up_Q9SQG9_Q9SQG9_WHEAT	2	1	0
up_Q9M084_Q9M084_ARATH	2	0	0
up_O24449_O24449_MAIZE	2	0	0
up_Q9LIZ8_Q9LIZ8_ORYSJ	2	0	0
up_Q42617_Q42617_BRANA	6	0	0
up_Q9LYT5_PME35_ARATH	2	0	0
up_O24598_O24598_ARATH	2	0	0
up_Q8W178_Q8W178_BRAOL	2	0	0
up_Q8W168_Q8W168_GOSBA	2	0	0
up_Q9SXA1_Q9SXA1_ARATH	2	0	0
up_Q8S337_Q8S337_LOLPR	2	0	0
pfam21_Q9C9W6_Q9C9W6_ARATH	2	0	0
up_Q94G21_Q94G21_IPOBA	2	0	0
up_O04072_O04072_SAMNI	3	1	0
up_Q8W243_Q8W243_VISAL	3	1	0
up_Q948J6_Q948J6_ORYSJ	2	0	0
up_Q94FS0_Q94FS0_LOLRI	2	0	0
up_O81189_O81189_MAIZE	2	0	0
up_Q9FVC4_Q9FVC4_ARATH	2	0	0
up_Q9XFZ8_Q9XFZ8_9GENT	2	0	0
pfam21_Q9LJR7_XTH3_ARATH	2	0	0
up_Q9LNF5_Q9LNF5_ARATH	4	0	0
up_Q8W112_Q8W112_ARATH	2	0	0
pfam21_Q9MA43_ATX2_ARATH	6	1	0
pfam21_Q9FRI4_Q9FRI4_ARATH	4	0	0
up_Q9LVW8_Q9LVW8_ARATH	3	0	0
up_Q9STI4_Q9STI4_ARATH	3	1	0
up_Q9FXY5_Q9FXY5_ARTAN	2	0	0
up_Q9LZE4_Q9LZE4_ARATH	2	0	0
up_Q94AX4_Q94AX4_ARATH	2	0	0
up_Q8W4J5_Q8W4J5_ARATH	4	1	0
up_Q9SAN0_Q9SAN0_GOSAR	2	0	0
up_Q9LQ76_Q9LQ76_ARATH	2	0	0
up_Q9SXK4_Q9SXK4_WHEAT	2	1	0
up_Q946Z3_Q946Z3_NEPOL	2	0	0
up_Q38999_Q38999_ARATH	2	0	0
up_Q9SWS7_Q9SWS7_ARATH	2	0	0
up_Q9AXP5_Q9AXP5_ARTAN	2	0	0
up_Q43853_Q43853_ULMAM	2	0	0
up_Q8W418_Q8W418_CITJA	2	0	0
up_Q9M7H4_Q9M7H4_ARABL	2	0	0
up_Q8W182_Q8W182_BRAOL	3	0	0
up_Q43173_Q43173_SOLTU	2	0	0
up_Q9M7G4_Q9M7G4_9BRAS	2	0	0
up_Q8RVG8_Q8RVG8_ARATH	2	0	0
up_O82455_O82455_9GENT	2	0	0
pfam21_Q9ZSB5_Q9ZSB5_ARATH	3	1	0
up_O48899_O48899_MAIZE	2	1	0
up_O81985_O81985_HELTU	2	0	0
up_Q9XHM8_Q9XHM8_MEDTR	2	0	0
pfam21_Q9LPX9_Q9LPX9_ARATH	2	0	0
up_Q9ZR23_Q9ZR23_PEA	2	0	0
pfam21_Q9SVE0_Q9SVE0_ARATH	2	0	0
up_Q9XG79_Q9XG79_9GENT	2	0	0
up_O24382_O24382_SOLTU	7	1	0
up_Q9ZSQ5_Q9ZSQ5_ASTPN	2	1	0
up_Q43042_Q43042_PETHY	5	0	0
pfam21_Q94AH8_Q94AH8_ARATH	2	0	0
up_Q9ARG1_Q9ARG1_CITUN	2	0	0
pfam21_Q9LIB8_Q9LIB8_ARATH	2	0	0
up_Q42955_Q42955_TOBAC	2	0	0
up_Q9FV24_Q9FV24_SOLLC	6	0	0
up_Q947M6_Q947M6_SETIT	6	0	0
up_Q9M0I5_Q9M0I5_ARATH	2	0	0
up_Q8SA43_Q8SA43_ABRPR	3	1	0
up_Q9SXW5_Q9SXW5_PEA	3	1	0
up_O82151_O82151_TOBAC	2	0	0
up_Q42710_Q42710_CUCSA	2	0	0
up_Q9FV73_Q9FV73_PERFR	2	0	0
pfam21_Q9LP78_Q9LP78_ARATH	2	0	0
up_Q9ZRZ8_RH28_ARATH	2	0	0
up_Q9SAS9_Q9SAS9_ACHAM	2	0	0
pfam21_O22200_O22200_ARATH	2	0	0
up_Q9ZSR1_Q9ZSR1_MESCR	2	0	0
up_O82456_O82456_KOPFR	2	0	0
up_Q9SPJ1_Q9SPJ1_JUGNI	2	0	0
up_O22961_O22961_ARATH	2	0	0
pfam21_Q9M7Y9_Q9M7Y9_ARATH	2	0	0
up_Q947C1_Q947C1_MAIZE	2	0	0
up_O64458_O64458_SOYBN	2	0	0
up_P93672_P93672_HORVU	2	0	0
up_Q9LP82_Q9LP82_ARATH	2	0	0
up_Q9FXY2_Q9FXY2_ARTAN	2	0	0
up_Q9STX5_ENPL_ARATH	2	0	0
up_Q948Z0_TPSD6_ABIGR	2	0	0
up_Q9LM23_Q9LM23_ARATH	3	1	0
up_O81083_O81083_ALLCE	2	0	0
up_Q9LEK6_Q9LEK6_EUGGR	3	0	0
up_O64923_O64923_MAIZE	5	1	0
up_Q9LEQ3_CNG18_ARATH	2	0	0
up_O82074_O82074_TROMA	2	0	0
up_Q9LXK4_Q9LXK4_ARATH	2	0	0
up_Q43799_Q43799_TOBAC	2	0	0
up_O24358_O24358_SPIOL	2	0	0
up_Q03106_Q03106_WHEAT	2	0	0
up_Q9FNS9_Q9FNS9_CICIN	2	0	0
up_O24398_O24398_WHEAT	2	1	0
up_Q9T0N6_Q9T0N6_MAIZE	4	0	0
pfam21_Q9M364_ATX3_ARATH	4	1	0
up_Q42835_Q42835_HORVU	2	0	0
up_Q9FZD7_Q9FZD7_ARATH	2	0	0
up_Q946Z5_Q946Z5_CHLRE	2	0	0
up_Q9FEF5_Q9FEF5_MAIZE	2	0	0
up_O49298_PME6_ARATH	2	0	0
up_Q9FV72_Q9FV72_PERFR	2	0	0
up_Q9FHA3_DPOLA_ARATH	3	0	0
pfam21_Q8W2P4_Q8W2P4_ORYSA	6	0	0
up_Q9FN89_Q9FN89_ARATH	2	0	0
up_Q949I1_Q949I1_FESPR	2	0	0
up_Q9ZPN5_Q9ZPN5_CLACO	2	0	0
up_Q9SYS5_Q9SYS5_SAMNI	2	0	0
pfam21_O49688_O49688_ARATH	2	0	0
up_Q96410_Q96410_DAUCA	2	0	0
up_Q9ZTL2_Q9ZTL2_MAIZE	2	0	0
up_Q9STB3_Q9STB3_IPOBA	3	1	0
up_Q9SLN9_Q9SLN9_SOLLC	2	0	0
up_Q9ZT61_Q9ZT61_SAMNI	2	0	0
up_Q38696_Q38696_ACTDE	2	0	0
up_Q8W427_Q8W427_WHEAT	2	0	0
up_Q9M0G9_AB24B_ARATH	2	0	0
up_Q43855_Q43855_VICFA	2	0	0
up_Q43705_Q43705_MAIZE	2	0	0
up_O65253_O65253_ARATH	2	0	0
up_Q9SW44_RH16_ARATH	2	0	0
up_Q9FR53_Q9FR53_ARATH	7	1	0
up_Q949I0_Q949I0_FESPR	2	0	0
up_O82032_O82032_ORYSI	3	0	0
up_Q8W1P1_Q8W1P1_ORYSA	5	1	0
up_O64962_O64962_SOLLC	2	0	0
up_O65490_O65490_ARATH	2	0	0
up_Q94FR5_Q94FR5_MAIZE	2	0	0
up_P92916_GFT_ALLCE	2	0	0
up_O22331_O22331_HEVBR	2	0	0
up_O03986_O03986_ARATH	2	0	0
up_Q9FIM7_Q9FIM7_ARATH	2	0	0
up_Q9LPC5_Q9LPC5_ARATH	2	0	0
up_Q9SZM0_Q9SZM0_ARATH	2	0	0
up_Q43191_Q43191_SOLTU	2	0	0
up_Q9M7G3_Q9M7G3_9BRAS	2	0	0
up_Q9SYM4_TPS1_ARATH	2	0	0
up_Q9FVF9_Q9FVF9_LINUS	2	0	0
up_Q9SQH0_Q9SQH0_AEGTA	2	1	0
up_Q9M684_Q9M684_PHAVU	2	0	0
up_Q9FNC7_SUVR2_ARATH	2	0	0
up_Q9M7H2_Q9M7H2_BOEDR	2	0	0
up_Q9FHN4_PME60_ARATH	2	0	0
up_Q9C6J5_Q9C6J5_ARATH	2	0	0
up_O82491_SPT16_ARATH	3	0	0
up_O24137_O24137_TOBAC	2	0	0
up_Q9SJ20_RIR1_ARATH	3	0	0
up_Q8W0V2_Q8W0V2_MAIZE	2	0	0
up_P93670_P93670_HORVU	2	0	0
up_Q41522_Q41522_WHEAT	2	0	0
pfam21_Q9LW98_Q9LW98_ARTAN	2	0	0
up_Q9FH75_GLR13_ARATH	2	0	0
up_Q9MAX0_Q9MAX0_ORYSA	3	1	0
up_Q8VYU1_Q8VYU1_ORYSA	2	1	0
up_O49898_O49898_MOUSC	2	0	0
up_Q94JS8_Q94JS8_9ROSI	2	0	0
up_Q947A5_Q947A5_9CHLO	2	0	0
up_O64925_O64925_CHLRE	2	1	0
up_Q9FQ61_Q9FQ61_BRAOL	2	0	0
up_Q9SX54_Q9SX54_ARATH	2	1	0
up_Q42428_Q42428_CASSA	2	0	0
up_Q93YA3_TASY_TAXBA	2	0	0
up_Q9FQ28_Q9FQ28_SOLLC	2	0	0
up_Q9M7G6_Q9M7G6_ARAGU	2	0	0
pfam21_O23152_O23152_ARATH	3	1	0
up_Q9SSV3_Q9SSV3_NICPA	6	1	0
up_Q06076_ABRD_ABRPR	3	1	0
up_Q9FXY3_Q9FXY3_ARTAN	2	0	0
up_Q9SX19_Q9SX19_MAIZE	2	0	0
up_Q9AR86_Q9AR86_9ROSI	2	0	0
up_Q9LH59_Q9LH59_ARATH	2	0	0
up_Q9FR96_Q9FR96_ARATH	6	0	0
up_Q9LDJ5_Q9LDJ5_SOLLC	2	0	0
pfam21_Q94AF4_Q94AF4_ARATH	2	0	0
up_Q947A0_Q947A0_PRILA	2	0	0
up_Q9ZR55_Q9ZR55_CICIN	2	0	0
up_Q8VWZ5_Q8VWZ5_ORYSA	2	0	0
up_Q94ED2_Q94ED2_ORYSJ	2	0	0
pfam21_Q9SYR1_Q9SYR1_URTDI	3	1	0
up_Q9M724_Q9M724_ARATH	3	0	0
up_Q9FQ08_Q9FQ08_ARATH	4	0	0
pfam21_Q9FZ30_Q9FZ30_ARATH	2	0	0
up_O04408_KSA_PEA	2	0	0
pfam21_Q9FPS8_Q9FPS8_ARATH	2	0	0
pfam21_Q9SCJ9_Q9SCJ9_ARATH	2	0	0
up_Q9SD68_Q9SD68_ARATH	2	0	0
up_O23928_O23928_9POAL	3	0	0
up_Q9XGU1_Q9XGU1_ARTAN	2	0	0
up_Q9MB32_Q9MB32_ORYSA	2	0	0
up_Q9LVP7_Q9LVP7_ARATH	2	0	0
up_O22184_O22184_ARATH	2	0	0
up_Q9LS76_Q9LS76_ARATH	2	0	0
up_Q9SD73_Q9SD73_ARATH	2	0	0
up_Q9S7D2_Q9S7D2_ARATH	2	0	0
up_O64961_O64961_SOLLC	2	0	0
up_O04252_O04252_ARATH	2	0	0
up_Q93Z70_ARGC_ARATH	2	0	0
up_Q947A6_Q947A6_9CHLO	2	0	0
up_Q94A52_RH2_ARATH	2	0	0
